key,de,en,fr,it,description
blacklisted-agent.header.blacklistedAt,Datum erste Sperre,Blacklisted At,Agent sur liste noire,Data del primo blocco,
blacklisted-agent.header.city,Ort,City,Lieu,Luogo,
blacklisted-agent.header.counter,Anzahl Sperrungen,Counter,Counter,Counter,
blacklisted-agent.header.createdBy,Erstellt von,Created by,Créé par,Creato da,
blacklisted-agent.header.externalId,Ext. Id,Ext. Id,ID ext.,Ext. Id,
blacklisted-agent.header.id,Id,Id,ID,Id,
blacklisted-agent.header.name,Name,Name,Nom,Cognome,
blacklisted-agent.header.status,Status,Status,Statut,Stato,
blacklisted-agent.header.street,Strasse,Street,Rue,Strada,
blacklisted-agent.header.zipCode,PLZ,Postal code,NPA,NPA,
blacklisted-agent.selected-organisation-desc,Möchten Sie folgende Organisation auf die Blacklist setzen? ,Do you want to add the following organisation to the blacklist? ,Souhaitez-vous ajouter l'organisation suivante à la liste noire?,Volete inserire la seguente organizzazione nella lista nera?,
blacklisted-agent.status.active,Aktiv,Active,Activé,Attivo,
blacklisted-agent.status.inactive,Inaktiv,Inactive,Inactive,Inattivo,
blacklisted-agent.title,Blacklist für PAV,Blacklisted Agent,Agent sur liste noire,Lista nera per collocatori privati,
candidate-detail.additional-information.drivingCategories.label,Führerausweise,Driving licences,Permis de conduire,Patenti,
candidate-detail.additional-information.education.label,Ausbildung,Training,Formation,Formazione,
candidate-detail.additional-information.gender.label,Geschlecht,Gender,Sexe,Sesso,
candidate-detail.additional-information.highestEducationLevel.label,Höchste Bildungsstufe,Highest education level,Niveau de formation le plus élevé,Massimo titolo di studio,
candidate-detail.additional-information.preferredWorkRegions.label,Gesuchte Arbeitsregionen,Preferred work regions,Régions de travail recherchées,Regioni di ricerca,
candidate-detail.additional-information.title,Ergänzende Angaben,Additional Information,Indications complémentaires,Informazioni complementari,
candidate-detail.additional-information.workForm.label,Arbeitsform,Work form,Forme de travail,Tipologia lavorativa,
candidate-detail.anonymous-contact.city,Ort,City,Lieu,Luogo,
candidate-detail.anonymous-contact.company,Unternehmen,Business,Entreprise,Impresa,
candidate-detail.anonymous-contact.contact-via.text,Bitte kontaktieren Sie mich per:,Please contact me by:,Veuillez prendre contact avec moi par:,Vogliate contattarmi via:,
candidate-detail.anonymous-contact.contact-via.validation,Mindestens eine der folgenden Optionen ist erforderlich,At least one of the following options are required,Il faut qu'une option es selectionné,Almeno una delle seguenti opzioni è necessaria,
candidate-detail.anonymous-contact.dismiss,Abbrechen,Cancel,Annuler,Annullare,
candidate-detail.anonymous-contact.email,E-Mail,Email,Courriel,E-mail,
candidate-detail.anonymous-contact.house,Nr.,No.,N°,N.,
candidate-detail.anonymous-contact.mail-body-preamble,"Der unten angegebene Arbeitgeber ist im Job-Room auf Ihr Profil gestossen und wünscht eine Kontaktaufnahme. Bitte kontaktieren Sie die Firma gemäss unten stehenden Angaben, um das weitere Vorgehen zu besprechen.",The following employer discovered your profile on Job Room and would like to communicate with you directly. Please contact the company using the details below to discuss further steps.,L'employeur ci-après a consulté votre profil dans Job-Room et souhaiterait que vous le recontactiez au moyen des coordonnées ci-dessous pour discuter les prochains pas.,Il seguente datore di lavoro ha notato il vostro profilo nel Job-Room e desidera essere contattato alle seguenti coordinate per discutere i prossimi passi.,
candidate-detail.anonymous-contact.personal-message,Sie können hier eine persönliche Nachricht hinzufügen.,You may add a personal message here,Vous pouvez saisir un message personnel ici,Potete aggiungere un messaggio personale qui,
candidate-detail.anonymous-contact.phone,Telefon,Phone,Téléphone,Telefono,
candidate-detail.anonymous-contact.send-to,Post,Mail,Poste,Posta,
candidate-detail.anonymous-contact.street,Strasse,Street,Rue,Strada,
candidate-detail.anonymous-contact.title,Kandidat kontaktieren,Contact candidate,Contacter le/la candidat-e,Contattare il candidato,
candidate-detail.anonymous-contact.zip-code,PLZ,Postal code,NPA,NPA,
candidate-detail.anonymous-contact.country,Land,Country,Pays,Paese,
candidate-detail.back,Zurück zu den Suchergebnissen,Back to search results,Retour à la liste des résultats,Tornare ai risultati della ricerca,
candidate-detail.candidate-anonymous-contact.name,Kandidat kontaktieren,Contact candidate,Contacter le/la candidat-e,Contattare il candidato,
candidate-detail.candidate-anonymous-contact.subject,"Liebe RAV-Kundin, lieber RAV-Kunde","Dear Customer","Chère cliente, cher client ORP","Cara cliente, caro cliente dell'URC",
candidate-detail.candidate-anonymous-contact.success,"Ihre E-mail wurde versandt. Vielen Dank, dass Sie Job-Room benutzen.",Your e-mail was succesfully sent. Thank you for using Job-Room.,Votre courriel a été envoyé. Merci d'avoir utilisé Job-Room.,La vostra e-mail è stata inviata. Grazie di utilizzare Job-Room.,
candidate-detail.candidate-copy-link,Link kopieren,Copy link,Copier le lien,Copiare il link,
candidate-detail.candidate-print,Drucken,Print,Imprimer,Stampare,
candidate-detail.external-id,STES-ID,Candidate-ID,ID-DE,ID PCI,
candidate-detail.graduation.ACCEPTED,Schweiz anerkannt,Swiss recognized,Diplôme reconnu en Suisse,Riconosciuto in Svizzera,
candidate-detail.graduation.CH,Schweizer Abschluss,Swiss degree,Diplôme suisse,Diploma svizzero,
candidate-detail.graduation.NONE,Kein Abschluss,No degree,Aucun  diplôme,Nessun diploma,
candidate-detail.graduation.NOT_ACCEPTED,In der Schweiz nicht anerkannt,In Switzerland not recognized,Diplôme non reconnu en Suisse,Diploma non riconosciuto in Svizzera,
candidate-detail.job-center.title,Weitere Auskünfte erteilt Ihnen,For more information contact,Autres renseignements donnés par,Per maggiori informazioni,
candidate-detail.job-experience.degree.label,Ausbildung,Training,Formation,Formazione,
candidate-detail.job-experience.description.label,"Kenntnisse, Fähigkeiten, Skills","Expertise, competencies, skills","Connaissances, compétences, skills","Conoscenze, competenze, skills",
candidate-detail.job-experience.experience.label,Berufserfahrung,Work experience,Expérience professionnelle,Esperienza professionale,
candidate-detail.job-experience.graduation.label,Berufsabschluss,Professional degree,Diplôme,Titolo professionale,
candidate-detail.job-experience.last-job.label,Zuletzt ausgeübter Beruf,Last job,Dernière profession exercée,Ultima professione svolta,
candidate-detail.job-experience.title,Berufliche Qualifikation,Professional qualification,Qualifications professionnelles,Qualifica professionale,
candidate-detail.personal-information.address.label,Adresse,Address,Adresse,Indirizzo,
candidate-detail.personal-information.e-mail.label,E-Mail,Email,Courriel,E-mail,
candidate-detail.personal-information.mobile.label,Mobiltelefon,Mobile number,Tél. mobile,Cellulare,
candidate-detail.personal-information.name.label,Name / Vorname,Surname / First name,Nom / prénom,Cognome / nome,
candidate-detail.personal-information.nationality.label,Staatsangehörigkeit,Nationality,Nationalité ,Cittadinanza,
candidate-detail.personal-information.phone.label,Telefon,Telephone,Téléphone,Telefono,
candidate-detail.personal-information.title,Personalien / Kontaktdaten des Kandidaten,Personal information / Candidate contact details,Coordonnées du candidat,Generalità / coordinate del candidato,
candidate-search.availability.BY_ARRANGEMENT,Nach Vereinbarung,By agreement,À convenir,Previo accordo,
candidate-search.availability.IMMEDIATE,Ab sofort,Immediately,Tout de suite,Da subito,
candidate-search.availability.label,Verfügbarkeit,Availability,Disponibilité,Disponibilità,
candidate-search.degree.label,Ausbildung,Training,Formation,Formazione,
candidate-search.experience.label,Berufserfahrung,Work experience,Expérience professionnelle,Esperienza professionale,
candidate-search.filter.candidate-search-link,Link versenden,Send link,Envoyer le lien,Inviare il link,
candidate-search.filter.title,Suchergebnisse filtern,Filter search result,Filtrer les résultats,Filtrare i risultati della ricerca,
candidate-search.graduation.ACCEPTED,Schweizer Abschluss oder anerkannt,Swiss degree or accepted in Switzerland,Diplôme suisse ou reconnu en Suisse,Diploma svizzero o riconosciuto in Svizzera,
candidate-search.graduation.CH,Schweizer Abschluss,Swiss degree,Diplôme suisse,Diploma svizzero,
candidate-search.graduation.NONE,Kein Abschluss,No degree,Aucun diplôme,Nessun diploma,
candidate-search.graduation.NOT_ACCEPTED,Schweizer oder ausländischer Abschluss,Swiss or foreign degree,Diplôme suisse ou étranger,Diploma svizzero o estero,
candidate-search.graduation.label,Abschluss,Degree,Diplôme,Titolo,
candidate-search.languageSkills.label,Sprachkenntnisse,Languages,Connaissances linguistiques,Conoscenze linguistiche,
candidate-search.no-selection,Keine Auswahl,No selection,Aucune sélection,Nessuna scelta,
candidate-search.title,Kandidatensuche,Candidate search,Recherche de candidats,Ricerca di candidati,
candidate-search.toolbar.graduation.label,Abschluss,Degree,Diplôme,Diploma,
candidate-search.toolbar.residence.placeholder,Wohnkanton,Canton of residence,Canton de domicile,Cantone di domicilio,
customer.title,Registrierung für Kunden,Customer registration,Enregistrement pour les clients,Registrazione per i clienti,
dashboard.job-publication.action,Aktion,Action,Action,Azione,
dashboard.job-publication.action.copy,Stellenanzeige duplizieren,Duplicate the job ad,Dupliquer l'annonce,Duplicare l'annuncio,
dashboard.job-publication.action.delete,Stellenanzeige abmelden,Cancel job posting,Retirer l'annonce,Cancellare l'annuncio,
dashboard.job-publication.action.view,Stellenanzeige sichten,View job ad,Consulter l'annonce,Vedere l'annuncio,
dashboard.job-publication.avam,Stellennr. AVAM,Job No. AVAM,N° de poste PLASTA,N. del posto vacante COLSTA,
dashboard.job-publication.job-room-id,Stellennr. Job-Room,Job No. Job-Room,N° de poste Job-Room,N. del posto vacante Job-Room,
dashboard.job-publication.job-title,Stellenbezeichnung,Job description,Désignation du poste,Denominazione del posto,
dashboard.job-publication.location,Arbeitsort,Place of work,Lieu de travail,Luogo di lavoro,
dashboard.job-publication.publication-date,Meldedatum,Registration date,Date de l'annonce,Data dell'annuncio,
dashboard.job-publication.publication-period.180,6 Monate,6 months,6 mois,6 mesi,
dashboard.job-publication.publication-period.30,1 Monat,1 month,1 mois,1 mese,
dashboard.job-publication.publication-period.365,1 Jahr,1 year,1 an,1 anno,
dashboard.job-publication.publication-period.7,1 Woche,1 week,1 semaine,1 settimana,
dashboard.job-publication.publication-period.90,3 Monate,3 months,3 mois,3 mesi,
dashboard.job-publication.publication-period.all,Alle,All,Tous,Tutti,
dashboard.job-publication.publication-period.label,Zeitraum,Age of posts,Ancienneté des postes,Pubblicato dal,
dashboard.job-publication.status,Status,Status,Statut,Stato,
dashboard.job-publication.title,Stellen bewirtschaften,Manage job ads,Gérer les annonces,Gestire gli annunci,
entity.action.back,Zurück,Back,Retour,Indietro,
entity.action.cancel,Abbrechen,Cancel,Annuler,Annullare,
entity.action.delete,Löschen,Delete,Supprimer,Cancellare,
entity.action.edit,Bearbeiten,Edit,Editer,Modificare,
entity.action.save,Speichern,Save,Sauvegarder,Salvare,
entity.action.view,Details,View,Détails,Dettagli,
entity.delete.title,Löschen bestätigen,Confirm deletion,Confirmer la suppression,Confermare la cancellazione,
entity.validation.datetimelocal,Dieses Feld muss eine Datums- und Zeitangabe enthalten.,This field must be a date and time.,Ce champ doit être une date et une heure.,Questo campo deve contenere una data e un'ora,
entity.validation.max,Dieses Feld muss kleiner als {{max}} sein.,This field cannot be more than {{ max }}.,Ce champ doit être inférieur à {{max}}.,Questo campo deve essere inferiore a {{ max }}.,
entity.validation.min,Dieses Feld muss grösser als {{min}} sein.,This field must be at least {{ min }}.,Ce champ doit être supérieur à {{min}}.,Questo campo deve essere superiore a {{ min }}.,
entity.validation.required,Pflichtfeld,This field is required.,Ce champ est obligatoire.,Questo campo è obbligatorio.,
global.button.add.title,Hinzufügen,Add,Ajouter,Aggiungere,
global.button.remove.title,Entfernen,Remove,Supprimer,Rimuovere,
global.common-phrases.no-results-found,Ihre Sucheingabe hat keine Treffer ergeben.,No result found for your search.,Aucun résultat pour votre recherche.,Nessun risultato per la ricerca.,
global.contactPerson.salutation.MR,Herr,Mr,Monsieur,Signor,
global.contactPerson.salutation.MS,Frau,Ms,Madame,Signora,
global.degree.NOT_KNOWN,Unbekannt,Unknown,Inconnue,Ignoto,
global.degree.PRIMAR_OBLIGATORISCHE_SCHULE,Obligatorische Schule (Primarstufe),Compulsory school (primary education),École obligatoire (Primaire),Scuola obligatoria (Elementare),
global.degree.SEK_II_BERUFSMATURITAET,Berufsmaturität oder äquivalent,Vocational and professional school-leaving certificate or equivalent,Maturité professionnelle ou équivalent,Maturità professionale o equivalente,
global.degree.SEK_II_FACHMATURITAET,Fachmaturität oder äquivalent,Specialised school-leaving certificate or equivalent,Maturité spécialisée ou équivalent,Maturità specializzata o equivalente,
global.degree.SEK_II_FACHMITTELSCHULE,Fachmittelschule oder äquivalent,Upper-secondary specialised school or equivalent,Ecole de culture générale ou équivalent,Scuola specializzata o equivalente,
global.degree.SEK_II_GRUNDBILDUNG_EBA,Berufliche Grundbildung EBA oder äquivalent,Vocational education and training with the Swiss Federal VET Certificate or equivalent,Formation professionnelle initiale AFP ou équivalent,Formazione professionale di base CFP o equivalente,
global.degree.SEK_II_GRUNDBILDUNG_EFZ,Berufliche Grundbildung EFZ oder äquivalent,Vocational education and training with the Swiss Federal VET Diploma or equivalent,Formation professionnelle initiale CFC ou équivalent,Formazione professionale di base AFC o equivalente,
global.degree.SEK_II_GYMNASIALE_MATURITAET,Gymnasiale Maturität oder äquivalent,Baccalaureate school-leaving certificate or equivalent,Maturité gymnasiale ou équivalent,Maturità liceale o equivalente,
global.degree.SEK_II_WEITERFUEHRENDE_SCHULE,Weiterführende Schule (Sek. II),Secondary school (upper-secondary education),Ecole supérieure (Sec. II),Scuola superiore (Sec. II),
global.degree.SEK_I_OBLIGATORISCHE_SCHULE,Obligatorische Schule (Sek. I),Compulsory school (lower-secondary education),École obligatoire (Sec. I),Scuola obligatoria (Sec. I),
global.degree.TER_BACHELOR_FACHHOCHSCHULE,Bachelor Fachhochschule oder äquivalent,Bachelor’s degree from a university of applied sciences or equivalent,Bachelor HES ou équivalent,Bachelor SUP o equivalente,
global.degree.TER_BACHELOR_UNIVERSITAET,Bachelor universitäre Hochschule oder äquivalent,Bachelor’s degree from a university or equivalent,Bachelor HEU ou équivalent,Bachelor scuola univ./poli. o equivalente,
global.degree.TER_BERUFSBILDUNG_DIPL,"Höhere Berufsbildung, Diplom oder äquivalent","Higher professional education and training, diploma or equivalent","Formation professionnelle supérieure, diplôme ou équivalent","Formazione professionale superiore, diploma o equivalente",
global.degree.TER_BERUFSBILDUNG_FA,"Höhere Berufsbildung, eidg. FA oder äquivalent","Higher professional education and training, Swiss Federal PET diploma or equivalent","Formation professionnelle supérieure BF ou équivalent","Formazione professionale superiore APF o equivalente",
global.degree.TER_DOKTORAT_UNIVERSITAET,Doktorat universitäre Hochschule oder äquivalent,Doctorate from a university or equivalent,Doctorat HEU ou équivalent,Dottorato scuola univ./poli. o equivalente,
global.degree.TER_MASTER_FACHHOCHSCHULE,Master Fachhochschule oder äquivalent,Master’s degree from a university of applied sciences or equivalent,Master HES ou équivalent,Master SUP o equivalente,
global.degree.TER_MASTER_UNIVERSITAET,Master universitäre Hochschule oder äquivalent,Master’s degree from a university or equivalent,Master HEU ou équivalent,Master scuola univ./poli. o equivalente,
global.degree.avamCode.130,Weiterführende Schule (Sek. II),Secondary school (upper-secondary education),Ecole supérieure (Sec. II),Scuola superiore (Sec. II),
global.degree.avamCode.131,Berufliche Grundbildung EBA oder äquivalent,Vocational education and training with the Swiss Federal VET Certificate or equivalent,Formation professionnelle initiale AFP ou équivalent,Formazione professionale di base CFP o equivalente,
global.degree.avamCode.132,Berufliche Grundbildung EFZ oder äquivalent,Vocational education and training with the Swiss Federal VET Diploma or equivalent,Formation professionnelle initiale CFC ou équivalent,Formazione professionale di base AFC o equivalente,
global.degree.avamCode.133,Fachmittelschule oder äquivalent,Upper-secondary specialised school or equivalent,Ecole de culture générale ou équivalent,Scuola specializzata o equivalente,
global.degree.avamCode.134,Berufsmaturität oder äquivalent,Vocational and professional school-leaving certificate or equivalent,Maturité professionnelle ou équivalent,Maturità professionale o equivalente,
global.degree.avamCode.135,Fachmaturität oder äquivalent,Specialised school-leaving certificate or equivalent,Maturité spécialisée ou équivalent,Maturità specializzata o equivalente,
global.degree.avamCode.136,Gymnasiale Maturität oder äquivalent,Baccalaureate school-leaving certificate or equivalent,Maturité gymnasiale ou équivalent,Maturità liceale o equivalente,
global.degree.avamCode.150,"Höhere Berufsbildung, Diplom oder äquivalent","Higher professional education and training, diploma or equivalent","Formation professionnelle supérieure, diplôme ou équivalent","Formazione professionale superiore, diploma o equivalente",
global.degree.avamCode.160,"Höhere Berufsbildung, eidg. FA oder äquivalent","Higher professional education and training, Swiss Federal PET diploma or equivalent","Formation professionnelle supérieure BF ou équivalent","Formazione professionale superiore APF o equivalente",
global.degree.avamCode.170,Bachelor Fachhochschule oder äquivalent,Bachelor’s degree from a university of applied sciences or equivalent,Bachelor HES ou équivalent,Bachelor SUP o equivalente,
global.degree.avamCode.171,Bachelor universitäre Hochschule oder äquivalent,Bachelor’s degree from a university or equivalent,Bachelor HEU ou équivalent,Bachelor scuola univ./poli. o equivalente,
global.degree.avamCode.172,Master Fachhochschule oder äquivalent,Master’s degree from a university of applied sciences or equivalent,Master HES ou équivalent,Master SUP o equivalente,
global.degree.avamCode.173,Master universitäre Hochschule oder äquivalent,Master’s degree from a university or equivalent,Master HEU ou équivalent,Master scuola univ./poli. o equivalente,
global.degree.avamCode.180,Doktorat universitäre Hochschule oder äquivalent,Doctorate from a university or equivalent,Doctorat HEU ou équivalent,Dottorato scuola univ./poli. o equivalente,
global.degree.avamCode.198,Kein Angabe,No information,Aucune information,Nessuna informazione,
global.degree.avamCode.199,Kein Angabe,No information,Aucune information,Nessuna informazione,
global.drivingLicenceCategory.A,A,A,A,A,
global.drivingLicenceCategory.A1,A1,A1,A1,A1,
global.drivingLicenceCategory.B,B,B,B,B,
global.drivingLicenceCategory.B1,B1,B1,B1,B1,
global.drivingLicenceCategory.BE,BE,BE,BE,BE,
global.drivingLicenceCategory.C,C,C,C,C,
global.drivingLicenceCategory.C1,C1,C1,C1,C1,
global.drivingLicenceCategory.C1E,C1E,C1E,C1E,C1E,
global.drivingLicenceCategory.CE,CE,CE,CE,CE,
global.drivingLicenceCategory.D,D,D,D,D,
global.drivingLicenceCategory.D1,D1,D1,D1,D1,
global.drivingLicenceCategory.D1E,D1E,D1E,D1E,D1E,
global.drivingLicenceCategory.DE,DE,DE,DE,DE,
global.drivingLicenceCategory.F,F,F,F,F,
global.drivingLicenceCategory.G,G,G,G,G,
global.drivingLicenceCategory.M,M,M,M,M,
global.drivingLicenceCategory.label,Führerausweis,Driving licence,Permis de conduire,Patente,
global.education.ISCED1,Primarstufe - ISCED 1,Primary level - ISCED 1,Degré primaire - ISCED 1,Livello primario - ISCED 1,
global.education.ISCED2,Sekundarstufe I - ISCED 2,Lower secondary level - ISCED 2,Degré secondaire I - ISCED 2,Livello secondario I - ISCED 2,
global.education.ISCED3,Sekundarstufe II - ISCED 3,Upper secondary level - ISCED 3,Degré secondaire II - ISCED 3,Livello secondario II - ISCED 3,
global.education.ISCED4,Zweitausbildung nicht tertiäre Stufe - ISCED 4,Post-secondary non-tertiary level - ISCED 4,Degré post-secondaire non tertiaire ISCED 4,Seconda formazione - ISCED 4,
global.education.ISCED5,Tertiärstufe I - ISCED 5,First stage of tertiary - ISCED 5,Degré tertiaire I - ISCED 5,Livello terziario I - ISCED 5,
global.education.ISCED6,Tertiärstufe II - ISCED 6,Second stage of tertiary - ISCED 6,Degré tertiaire II - ISCED 6,Livello terziario II - ISCED 6,
global.experience.1_TO_3_YEAR,1 bis 3 Jahre,1 to 3 years,1 - 3 ans,1 - 3 anni,
global.experience.LESS_THAN_1_YEAR,Weniger als 1 Jahr,Less than 1 year,Moins d'un an,Meno di 1 anno,
global.experience.MORE_THAN_1_YEAR,Mehr als 1 Jahr,More than 1 year,Plus d'un an,Più di 1 anno,
global.experience.MORE_THAN_3_YEARS,Mehr als 3 Jahre,More than 3 years,Plus de trois ans,Più di 3 anni,
global.experience.NO_EXPERIENCE,Keine Erfahrung,No experience,Aucune expérience,Nessuna esperienza,
global.footer.link.legal.text,Rechtliche Hinweise,Legal information,Droits d'usage,Avvertenze giuridiche,
global.footer.link.legal.url,https://www.arbeit.swiss/secoalv/de/home/service/rechtliche-hinweise.html,https://www.arbeit.swiss/secoalv/en/home/service/rechtliche-hinweise.html,https://www.arbeit.swiss/secoalv/fr/home/service/rechtliche-hinweise.html,https://www.arbeit.swiss/secoalv/it/home/service/rechtliche-hinweise.html,
global.footer.link.seco.text,Arbeitsmarkt ALV / Arbeitslosenversicherung,Labour market / Unemployment insurance,Marché du travail AC / Assurance-chômage,Mercato del lavoro AD / Assicurazione contro la disoccupazione,
global.gender.FEMALE,Weiblich,Female,Féminin,Femminile,
global.gender.MALE,Männlich,Male,Masculin,Maschile,
global.job-publication.status.APPROVED,Genehmigt,Approved,Approuvé,Approvato,
global.job-publication.status.ARCHIVED,Archiviert,Archived,Archivé,Archiviato,
global.job-publication.status.CANCELLED,Abgemeldet,Canceled,Retiré,Cancellato,
global.job-publication.status.CREATED,Erstellt,Created,Créé,Creato,
global.job-publication.status.INSPECTING,In Prüfung,Pending verification,En examen,Controllo in corso,
global.job-publication.status.PUBLISHED_PUBLIC,Öffentlich publiziert,Public posting,Publié pour le public,Pubblicazione aperta,
global.job-publication.status.PUBLISHED_RESTRICTED,Eingeschränkt publiziert,Restricted posting,Publié dans l'espace réservé,Pubblicazione ristretta,
global.job-publication.status.REFINING,Wird überarbeitet,In revision,En révision,Revisione in corso,
global.job-publication.status.REJECTED,Zurückgewiesen,Rejected,Rejeté,Respinto,
global.legal-terms-dialog.body.accept-label,Ich akzeptiere die neuen AGB,I accept the new GTC,J’accepte les nouvelles CG.,Accetto le nuove CG,
global.legal-terms-dialog.body.accept-link.text,Neue Allgemeine Geschäftsbedingungen (AGB),New General Terms and Conditions (GTC),Nouvelles conditions générales (CG),Nuove Condizioni generali (CG),
global.legal-terms-dialog.body.content1,Unsere Allgemeinen Geschäftsbedingungen haben sich geändert. ,Our General Terms and Conditions have changed.,Nos conditions générales ont été modifiées.,Le nostre Condizioni generali sono cambiate.,
global.legal-terms-dialog.body.content2,"Bitte akzeptieren Sie diese, damit Sie Ihr Konto weiterhin nutzen können.",Please accept them in order to continue using your account.,Veuillez les accepter afin de poursuivre l’utilisation de votre compte.,Vogliate accettarle per poter continuare a usare il vostro conto.,
global.legal-terms-dialog.footer.accept,Weiter,Next,Suivant,Seguente,
global.legal-terms-dialog.footer.reject,"Nicht akzeptieren und ausloggen","Do not accept and log out","Ne pas accepter et se désinscrire","Non accettare, logout",
global.legal-terms-dialog.header.title,Neue Allgemeine Geschäftsbedingungen (AGB),New General Terms and Conditions (GTC),Nouvelles conditions générales (CG),Nuove Condizioni generali (CG),
global.menu.account.login,Login|Registrierung,Login|Registration,Login|Enregistrement,Login|Registrazione,
global.menu.account.logout,Abmelden,Sign out,Déconnexion,Disconnettersi,
global.menu.account.registration.incomplete,Registrierung abschliessen,Complete registration,Terminer l'enregistrement,Completare la registrazione,
global.menu.account.registration.text,Info Registrierung,Registration info,Info enregistrement,Info registrazione,
global.menu.home,Startseite,Home,Page d'accueil,Pagina principale,
global.messages.tooltip.link-copy.success,Der Link wurde in Ihre Zwischenablage gelegt,The link has been copied to your clipboard,Le lien a été placé dans le presse-papier,Il link è stato copiato negli appunti,
global.messages.validate.email.invalid,Ihre E-Mail-Adresse ist ungültig.,Your email address is invalid.,Votre adresse courriel n'est pas valide.,Il vostro indirizzo e-mail non è valido.,
global.messages.validate.phone.format,Bitte gültige Telefonnummer eingeben z. B. 031 999 99 99 oder +41 31 999 99 99,Please enter a valid phone number e.g. 031 999 99 99 or +41 31 999 99 99,Veuillez insérer une numéro de téléphone valide par ex. 031 999 99 99 or +41 31 999 99 99,Inserire un n. di telefono valido p. es. 031 999 99 99 o +41 31 999 99 99,
global.reference.canton.99,Ausland,Abroad,Étranger,Estero,
global.reference.canton.AG,Aargau,Aargau,Argovie,Argovia,
global.reference.canton.AI,Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzello Interno,
global.reference.canton.AR,Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzello Esterno,
global.reference.canton.AU,Ausland,Abroad,Étranger,Estero,
global.reference.canton.BE,Bern,Bern,Berne,Berna,
global.reference.canton.BL,Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,Basilea-Campagna,
global.reference.canton.BS,Basel-Stadt,Basel-Stadt,Bâle-Ville,Basilea-Città,
global.reference.canton.CH,Schweiz,Switzerland,Suisse,Svizzera,
global.reference.canton.FL,Fürstentum Liechtenstein,Principality of Liechtenstein,Principauté de Liechtenstein,Principato del Liechtenstein,
global.reference.canton.FR,Freiburg,Fribourg,Fribourg,Friburgo,
global.reference.canton.GE,Genf,Geneva,Genève,Ginevra,
global.reference.canton.GL,Glarus,Glarus,Glaris,Glarona,
global.reference.canton.GR,Graubünden,Graubünden,Grisons,Grigioni,
global.reference.canton.JU,Jura,Jura,Jura,Giura,
global.reference.canton.LU,Luzern,Lucerne,Lucerne,Lucerna,
